dataset,min_silence_len,silence_thresh,N_words,precision,recall,f1,MAE,RMSE,R2
crowd_train,150,-35,2,1,0.6102978293791015,0.7579937304075235,3.092882382635033,4.956804836258452,0
crowd_train,50,-36,2,1,0.607773851590106,0.7560439560439561,2.773851590106007,4.2700960578494,0
crowd_train,150,-36,2,1,0.6062594649167087,0.7548711502199873,3.13326602725896,5.013711638269731,0
crowd_train,150,-38,2,1,0.6062594649167087,0.7548711502199873,3.158505805148915,5.136648616617717,0
crowd_train,200,-29,2,1,0.6057546693589096,0.7544797233574347,3.085815244825846,4.940381565744073,0
crowd_train,250,-20,2,1,0.6037354871277133,0.7529115517784074,3.021706208985361,4.771825439095757,0
crowd_train,150,-37,2,1,0.6037354871277133,0.7529115517784074,3.175164058556285,5.090696842897812,0
crowd_train,200,-17,2,1,0.6027258960121151,0.7521259842519685,3.075719333669864,5.0,0
crowd_train,150,-39,2,1,0.6027258960121151,0.7521259842519685,3.198889449772842,5.217964929070489,0
crowd_train,250,-21,2,1,0.602221100454316,0.751732829237555,3.009086320040383,4.7385452626794,0
crowd_train,250,-22,2,1,0.6007067137809188,0.750551876379691,3.020696617869763,4.750939756661683,0
crowd_train,200,-30,2,1,0.5996971226653205,0.7497633322814767,3.139828369510348,5.025025710603494,0
crowd_train,150,-40,2,1,0.5996971226653205,0.7497633322814767,3.250883392226148,5.275164444757406,0
crowd_train,50,-37,2,1,0.5956587582029278,0.7465991774754824,2.856133266027259,4.416023322956356,0
crowd_train,250,-19,2,1,0.5956587582029278,0.7465991774754824,3.091367995961635,4.877913838150278,0
crowd_train,200,-33,2,1,0.5956587582029278,0.7465991774754824,3.25542655224634,5.207603263655996,0
crowd_train,200,-32,2,1,0.5946491670873296,0.7458056346945235,3.222614840989399,5.151711487151141,0
crowd_train,250,-23,2,1,0.5926299848561333,0.7442155309033281,3.052498738011105,4.798777818490532,0
crowd_train,200,-31,2,1,0.5926299848561333,0.7442155309033281,3.186774356385664,5.099563976570526,0
crowd_train,50,-38,2,1,0.5875820292781424,0.7402225755166932,2.959616355376073,4.574085863218895,0
crowd_train,200,-35,2,1,0.5865724381625441,0.7394209354120267,3.318021201413428,5.301462276728942,0
crowd_train,200,-34,2,1,0.5845532559313478,0.7378145906339598,3.284704694598688,5.24527142164482,0
crowd_train,200,-40,2,1,0.5845532559313478,0.7378145906339598,3.430085815244826,5.538949324227057,0
crowd_train,200,-38,2,1,0.5835436648157496,0.7370098820529167,3.365976779404341,5.440050033917844,0
crowd_train,200,-39,2,1,0.5825340737001514,0.7362041467304625,3.394750126198889,5.499254228728271,0
crowd_train,250,-18,2,1,0.5820292781423524,0.7358008934269304,3.19434628975265,5.041473627341936,0
crowd_train,250,-24,2,1,0.5815244825845532,0.7353973827002873,3.130742049469965,4.899391632076618,0
crowd_train,250,-25,2,1,0.5805148914689551,0.7345895879910572,3.180716809692075,4.974899134990744,0
crowd_train,200,-37,2,1,0.5805148914689551,0.7345895879910572,3.372539121655729,5.387882528633336,0
crowd_train,250,-26,2,1,0.5795053003533569,0.7337807606263982,3.23321554770318,5.072766814069446,0
crowd_train,250,-29,2,1,0.5790005047955578,0.7333759590792839,3.337708228167592,5.294268423715627,0
crowd_train,200,-36,2,1,0.5790005047955578,0.7333759590792839,3.353861686017163,5.342863351568952,0
crowd_train,250,-27,2,1,0.5779909136799596,0.7325655790147153,3.262493690055527,5.12257625429531,0
crowd_train,250,-28,2,1,0.5769813225643614,0.7317541613316261,3.296819787985866,5.219802700505639,0
crowd_train,150,-15,2,1,0.5764765270065624,0.7313480627601665,3.310449268046441,5.38614896811384,0
crowd_train,50,-39,2,1,0.5759717314487632,0.7309417040358743,3.09439676930843,4.74647508626912,0
crowd_train,250,-30,2,1,0.5734477536597677,0.7289059993583573,3.370519939424533,5.345838653913898,0
crowd_train,250,-40,2,1,0.5729429581019687,0.7284980744544287,3.534578495709238,5.681696570677802,0
crowd_train,250,-32,2,1,0.5709237758707724,0.7268637532133676,3.414437152953054,5.430855812032328,0
crowd_train,250,-38,2,1,0.5704189803129732,0.7264545162327226,3.51085310449268,5.628629851307401,0
crowd_train,50,-40,2,1,0.5699141847551742,0.7260450160771705,3.176173649671883,4.772354343170612,0
crowd_train,250,-39,2,1,0.5699141847551742,0.7260450160771705,3.52195860676426,5.661715527629422,0
crowd_train,250,-31,2,1,0.569409389197375,0.725635252492763,3.392730943967693,5.388444644704624,0
crowd_train,300,-20,2,1,0.5683997980817769,0.7248149340199549,3.250378596668349,5.046827662984813,0
crowd_train,250,-33,2,1,0.5683997980817769,0.7248149340199549,3.447248864209995,5.472015908416997,0
crowd_train,300,-22,2,1,0.5678950025239778,0.7244043786220219,3.235739525492176,5.032554294381335,0
crowd_train,200,-16,2,1,0.5673902069661787,0.7239935587761674,3.35537607269056,5.394811200116887,0
crowd_train,250,-17,2,1,0.5673902069661787,0.7239935587761674,3.365976779404341,5.338988252262697,0
crowd_train,100,-21,1,1,0.5658758202927814,0.7227595099935525,1.973750630994447,3.157165355869227,0
crowd_train,250,-34,2,1,0.5643614336193842,0.7215230719586964,3.469459868753155,5.501823845182842,0
crowd_train,150,-21,1,1,0.563351842503786,0.7206974491443332,2.228167592125189,3.699598188204303,0
crowd_train,300,-40,2,1,0.5628470469459869,0.7202842377260983,3.617364967188289,5.778338634509326,0
crowd_train,100,-25,1,1,0.5618374558303887,0.7194570135746606,1.955073195355881,2.977706159569987,0
crowd_train,300,-24,2,1,0.5608278647147905,0.7186287192755497,3.337203432609793,5.174638186719222,0
crowd_train,250,-35,2,1,0.5603230691569914,0.7182141701714655,3.49469964664311,5.530923575514557,0
crowd_train,250,-37,2,1,0.5603230691569914,0.7182141701714655,3.508833922261484,5.602831547784754,0
crowd_train,300,-26,2,1,0.5588086824835942,0.7169689119170986,3.40030287733468,5.304270469111672,0
crowd_train,250,-36,2,1,0.557799091367996,0.7161373946856773,3.498738011105502,5.541227246219499,0
crowd_train,300,-30,2,1,0.557799091367996,0.7161373946856773,3.499242806663301,5.513418077703312,0
crowd_train,300,-34,2,1,0.557799091367996,0.7161373946856773,3.569914184755174,5.64139528281803,0
crowd_train,100,-22,1,1,0.5572942958101968,0.7157212317666126,1.975769813225644,3.081756580983012,0
crowd_train,300,-38,2,1,0.5567895002523978,0.7153047989623865,3.602725896012115,5.739463713213571,0
crowd_train,300,-32,2,1,0.5557799091367996,0.7144711226476315,3.540131246845028,5.589300733142955,0
crowd_train,100,-24,1,1,0.5552751135790005,0.7140538786108407,1.970217062089854,3.00269103602911,0
crowd_train,300,-18,2,1,0.5552751135790005,0.7140538786108407,3.39979808177688,5.286491886537905,0
crowd_train,300,-28,2,1,0.5542655224634023,0.7132185774602143,3.462897526501767,5.449043467411739,0
crowd_train,100,-20,1,1,0.5537607269056032,0.7128005198180636,2.004038364462393,3.292259135770161,0
crowd_train,100,-19,1,1,0.5537607269056032,0.7128005198180636,2.07773851590106,3.477482190124779,0
crowd_train,100,-23,1,1,0.552751135790005,0.711963589076723,1.968197879858657,3.023298391668964,0
crowd_train,100,-18,1,1,0.552751135790005,0.711963589076723,2.168096920747097,3.682297309838166,0
crowd_train,300,-36,2,1,0.552246340232206,0.7115447154471545,3.58859162039374,5.680408158757231,0
crowd_train,150,-20,1,1,0.5492175668854115,0.7090257412838058,2.276123170116103,3.80460413445196,0
crowd_train,150,-22,1,1,0.546693589096416,0.7069190600522194,2.226148409893993,3.640730937145526,0
crowd_train,150,-19,1,1,0.5461887935386168,0.7064968984655565,2.368500757193337,3.995327912540204,0
crowd_train,100,-26,1,1,0.5421504290762241,0.7031096563011456,2.005047955577991,3.036210874844994,0
